FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N MOSCAS / VISITA,TEMPERATURA,ESPECIE,,,,
11/11/2020,17,42,1,0,41,ABEJA,,,,
11/11/2020,17,43,2,0,41,ABEJA,,,,
11/11/2020,17,44,1,0,41,ABEJA,,,,
11/11/2020,17,44,1,0,41,ABEJA,,,,
11/11/2020,17,45,2,0,42,ABEJA,,,,
11/11/2020,17,57,1,1,42,ABEJA,,,,
11/11/2020,17,58,0,1,42,ABEJA,,,,
11/11/2020,18,0,1,0,42,ABEJA,,,,
11/11/2020,18,1,1,0,42,ABEJA,,,,
11/11/2020,18,3,1,0,42,ABEJA,,,,
11/11/2020,18,4,1,0,42,ABEJA,,,,
11/11/2020,18,4,1,0,42,ABEJA,,,,
11/11/2020,18,10,1,0,42,ABEJA,,,,
11/11/2020,18,10,1,0,42,ABEJA,,,,
11/11/2020,18,11,1,0,42,ABEJA,,,,
11/11/2020,18,12,1,0,42,ABEJA,,,,
11/11/2020,18,13,1,0,42,ABEJA,,,,
11/11/2020,18,16,0,1,41,MOSCA,,,,
11/11/2020,18,23,1,0,40,ABEJA,,,,
11/11/2020,18,24,1,0,40,ABEJA,,,,
11/11/2020,18,24,1,0,40,ABEJA,,,,
11/11/2020,18,25,1,0,40,ABEJA,,,,
11/11/2020,18,25,1,0,40,ABEJA,,,,
11/11/2020,18,27,2,0,40,ABEJA,,,,
11/11/2020,18,27,1,0,40,ABEJA,,,,
11/11/2020,18,28,1,0,40,ABEJA,,,,
11/11/2020,18,43,1,0,40,ABEJA,,,,
11/11/2020,18,47,1,0,40,ABEJA,,,,
11/11/2020,18,50,2,0,40,ABEJA,,,,
11/11/2020,18,50,1,0,40,ABEJA,,,,
11/11/2020,18,51,1,0,40,ABEJA,,,,
11/11/2020,18,55,1,0,40,ABEJA,,,,
11/11/2020,18,57,1,0,40,ABEJA,,,,
11/11/2020,18,58,1,0,40,ABEJA,,,,
11/11/2020,19,0,1,0,40,ABEJA,,,,
11/11/2020,19,1,2,0,40,ABEJA,,,,
11/11/2020,19,1,1,0,40,ABEJA,,,,
11/11/2020,19,2,1,0,39,ABEJA,,,,
11/11/2020,19,3,1,0,39,ABEJA,,,,
11/11/2020,19,4,2,0,39,ABEJA,,,,
11/11/2020,19,9,1,0,39,ABEJA,,,,
11/11/2020,19,10,1,0,39,ABEJA,,,,
11/11/2020,19,10,1,0,39,ABEJA,,,,
11/11/2020,19,17,1,0,38,ABEJA,,,,
11/11/2020,19,17,1,0,38,ABEJA,,,,
11/11/2020,19,18,1,0,38,ABEJA,,,,
11/11/2020,19,18,1,0,38,ABEJA,,,,
11/11/2020,19,19,1,0,38,ABEJA,,,,
11/11/2020,19,24,1,0,37,ABEJA,,,,
11/11/2020,19,25,0,1,37,MOSCA,,,,
11/11/2020,19,26,0,1,37,MOSCA,,,,
11/11/2020,19,27,0,1,37,MOSCA,,,,
11/11/2020,19,27,0,1,36,MOSCA,,,,
