FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N MOSCAS / VISITA,TEMPERATURA,especie
11/6/2020,06,23,1,0,42,
11/6/2020,06,26,1,0,42,
11/6/2020,06,29,1,0,42,
11/6/2020,06,29,1,0,42,
11/6/2020,06,30,1,0,42,
11/6/2020,06,31,1,0,42,
11/6/2020,06,32,1,0,42,
11/6/2020,06,32,1,0,42,
11/6/2020,06,33,1,0,42,
11/6/2020,06,33,1,0,42,
11/6/2020,06,34,1,0,42,
11/6/2020,06,34,1,0,42,
11/6/2020,06,35,1,0,42,
11/6/2020,06,37,1,0,42,
11/6/2020,06,38,1,0,42,
11/6/2020,06,38,1,0,42,
11/6/2020,06,39,1,0,41,
11/6/2020,06,39,1,0,41,
11/6/2020,06,40,1,0,41,
11/6/2020,06,43,1,0,41,
11/6/2020,06,47,1,0,40,
11/6/2020,06,48,2,0,40,
11/6/2020,06,50,2,0,39,
11/6/2020,06,53,1,0,39,
11/6/2020,06,59,1,0,37,
11/6/2020,06,59,1,0,37,
11/6/2020,07,01,1,0,37,
11/6/2020,07,07,1,0,36,
11/6/2020,07,07,1,0,36,
11/6/2020,07,42,0,1,32,
11/6/2020,07,43,0,1,32,
11/6/2020,07,44,0,1,32,
11/6/2020,07,44,0,1,32,
11/6/2020,07,45,0,1,32,
11/7/2020,09,29,1,0,26,
11/7/2020,09,37,1,0,27,
11/7/2020,09,38,1,0,27,
11/7/2020,09,39,1,0,27,
11/7/2020,09,39,1,0,27,
11/7/2020,09,41,1,0,27,
11/7/2020,09,44,2,0,27,
11/7/2020,09,45,1,0,27,
11/7/2020,09,45,1,0,27,
11/7/2020,09,46,1,0,27,
11/7/2020,09,46,1,0,27,
11/7/2020,09,47,1,0,27,
11/7/2020,09,48,1,0,27,
11/7/2020,09,55,2,0,28,
11/7/2020,09,56,1,0,28,
11/7/2020,10,01,1,0,28,
11/7/2020,10,02,1,0,28,
11/7/2020,10,02,2,0,28,
11/7/2020,10,03,1,0,28,
11/7/2020,10,04,1,0,28,
11/7/2020,10,13,1,0,28,
11/7/2020,10,28,1,0,29,
11/7/2020,10,28,1,0,29,
11/7/2020,10,29,1,0,29,
11/7/2020,10,30,1,0,29,
11/7/2020,10,30,1,0,29,
11/7/2020,10,31,1,0,29,
11/7/2020,10,31,1,0,29,
11/7/2020,10,35,1,0,29,
11/7/2020,10,39,1,0,30,
11/7/2020,10,41,1,0,30,
11/7/2020,10,41,1,0,30,
11/7/2020,10,42,1,0,30,
11/7/2020,10,45,1,0,30,
11/7/2020,10,45,1,0,30,
11/7/2020,10,47,1,0,30,
11/7/2020,10,50,1,0,30,
11/7/2020,10,51,1,0,30,
11/7/2020,10,52,2,0,30,
11/7/2020,10,52,1,0,30,
11/7/2020,10,56,1,0,30,
11/7/2020,10,59,1,0,31,
11/7/2020,11,00,1,0,31,
11/7/2020,11,00,1,0,31,
11/7/2020,11,01,1,0,31,
11/7/2020,11,02,1,0,31,
11/7/2020,11,02,2,0,31,
11/7/2020,11,03,2,0,31,
11/7/2020,11,04,1,0,31,
11/7/2020,11,04,1,0,31,
11/7/2020,11,05,1,0,31,
11/7/2020,11,06,1,0,31,
11/7/2020,11,10,1,0,31,
11/7/2020,11,10,1,0,31,
11/7/2020,11,11,2,0,31,
11/7/2020,11,11,2,0,31,
11/7/2020,11,12,2,0,31,
11/7/2020,11,12,1,0,31,
11/7/2020,11,13,1,0,31,
11/7/2020,11,14,2,0,31,
11/7/2020,11,14,2,0,31,
11/7/2020,11,19,1,0,31,
11/7/2020,11,21,1,0,31,
11/7/2020,11,22,1,0,31,
11/7/2020,11,22,1,0,31,
11/7/2020,11,23,1,0,31,
11/7/2020,11,24,1,0,31,
11/7/2020,11,24,1,0,31,
11/7/2020,11,25,1,0,31,
11/7/2020,11,26,1,0,31,
11/7/2020,11,29,1,0,31,
11/7/2020,11,34,1,0,32,
11/7/2020,11,35,1,0,32,
11/7/2020,11,36,1,0,32,
11/7/2020,11,36,1,0,32,
11/7/2020,11,37,1,0,32,
11/7/2020,11,37,1,0,32,
11/7/2020,11,39,1,0,32,
11/7/2020,11,44,1,0,32,
11/7/2020,11,44,1,0,32,
